code_zone_geo;zone_geographique;annee;code_type_org;type_d_organisme;code_indicateur;indicateur;code_type_pers;type_de_personnel;secret;non_disponible;etat_des_donnees;valeur
95;Provence-Alpes-Côte d'Azur + Corse;2004;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;7523.61
97;Corse + Régions d'outre-mer;2002;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1241.61
97;Corse + Régions d'outre-mer;2002;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;12.04
97;Corse + Régions d'outre-mer;2004;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1257.57
97;Corse + Régions d'outre-mer;2006;2;Entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
97;Corse + Régions d'outre-mer;2007;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
97;Corse + Régions d'outre-mer;2008;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
97;Corse + Régions d'outre-mer;2009;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;oui;non;définitif;
97;Corse + Régions d'outre-mer;2010;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
97;Corse + Régions d'outre-mer;2010;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
97;Corse + Régions d'outre-mer;2012;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;oui;non;définitif;
97;Corse + Régions d'outre-mer;2013;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;oui;non;semi-définitif;
97;Corse + Régions d'outre-mer;2013;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;semi-définitif;
98;Non ventilé;2009;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;2052.02
99;Étranger;2012;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;426.51
07;Régions d'outre-mer;2006;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1071.61
07;Régions d'outre-mer;2008;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;48.18
07;Régions d'outre-mer;2012;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;17.05
100;France;2001;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;144278.51
100;France;2010;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;143827.83
100;France;2012;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;258912.67
11;Île-de-France;2003;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;4557.6
11;Île-de-France;2004;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;54224.36
01;Guadeloupe;2004;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;oui;non;définitif;
01;Guadeloupe;2008;2;Entreprises;dird;Dépense intérieure de R&D;;;oui;non;définitif;
